season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times
7,99112773,Исламов Дмитрий Викторович,2,5,3,4,единая россия,1776,1
7,99112774,Ишсарин Рамзил Рафаилович,2,5,4,4,единая россия,1776,1
7,99112775,Кавинов Артем Александрович,1,4,3,3,единая россия,1776,1
7,99112776,Казанков Сергей Иванович,1,3,2,2,кпрф,1776,1
7,99112777,Каличенко Андрей Владимирович,1,5,4,4,единая россия,1776,1
7,99112778,Канаев Алексей Валерианович,2,5,4,5,единая россия,1776,1
7,99112779,Катенев Владимир Иванович,1,5,4,4,единая россия,1776,1
7,99112780,Клыканов Александр Борисович,1,5,4,4,единая россия,1776,1
7,99112781,Кобзев Юрий Викторович,2,5,4,4,единая россия,1539,1
7,99112782,Ковпак Лев Игоревич,1,5,3,3,единая россия,1776,1
7,99112783,Козенко Андрей Дмитриевич,2,4,2,3,единая россия,1776,1
7,99112784,Козловский Александр Николаевич,2,5,2,3,единая россия,1776,1
7,99112786,Колесникова Надежда Борисовна,1,5,3,3,единая россия,616,1
7,99112787,Костенко Наталья Васильевна,3,5,2,4,единая россия,1776,1
7,99112788,Косяненко Евгений Викторович,1,4,3,3,единая россия,1776,1
7,99112789,Красноштанов Алексей Николаевич,1,3,3,3,единая россия,1776,1
7,99112790,Крючек Сергей Иванович,2,4,3,3,справедливая россия,1776,1
7,99112791,Кувычко Анна Александровна,2,4,3,3,единая россия,1776,1
7,99112792,Кудрявцев Максим Георгиевич,3,5,3,4,единая россия,1776,1
7,99112794,Кузьмин Михаил Владимирович,4,5,3,5,единая россия,1776,1
7,99112795,Куринный Алексей Владимирович,5,3,3,4,кпрф,1776,1
7,99112796,Лавриненко Алексей Федорович,1,5,3,3,единая россия,1776,1
7,99112797,Ламейкин Дмитрий Викторович,3,5,5,5,единая россия,1776,1
7,99112798,Левицкий Юрий Андреевич,1,5,4,4,единая россия,1776,1
7,99112799,Литовченко Анатолий Григорьевич,1,5,3,3,единая россия,1776,1
7,99112800,Лоор Иван Иванович,1,5,2,3,единая россия,1776,1
7,99112801,Любимов Николай Викторович,1,5,3,4,единая россия,132,1
7,99112802,Лященко Алексей Вадимович,2,4,3,4,единая россия,1776,1
7,99112803,Маграмов Абдулмажид Варисович,1,5,5,4,единая россия,1776,1
7,99112804,Макаровец Николай Александрович,1,1,1,1,единая россия,16,1
7,99112805,Максимов Александр Александрович,3,5,5,5,единая россия,1776,1
7,99112806,Марков Андрей Павлович,1,5,3,3,единая россия,1776,1
7,99112807,Марченко Евгений Евгеньевич,3,2,2,3,единая россия,1776,1
7,99112808,Медведев Иван Владимирович,2,5,3,4,единая россия,1776,1
7,99112809,Мельник Владимир Иванович,3,5,4,4,единая россия,1776,1
7,99112810,Милонов Виталий Валентинович,2,2,2,2,единая россия,1776,1
