season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times
6,99111827,Дорохин Павел Сергеевич,3,3,2,3,кпрф,1749,1
6,99111828,Дроздов Илья Юрьевич,1,3,1,2,лдпр,1749,1
6,99111830,Епифанова Ольга Николаевна,2,4,2,3,справедливая россия,1749,1
6,99111831,Ефимов Виталий Борисович,2,5,2,4,единая россия,1749,1
6,99111832,Жарков Антон Викторович,1,5,3,4,единая россия,1749,1
6,99111833,Жигарев Сергей Александрович,2,3,2,3,лдпр,1749,1
6,99111836,Журавлев Алексей Александрович,1,5,2,3,единая россия,1749,1
6,99111837,Журавлев Сергей Валерианович,1,3,2,2,лдпр,1749,1
6,99111838,Зелинский Ян Викторович,4,3,2,3,лдпр,1749,1
6,99111839,Зотов Игорь Львович,2,1,2,2,справедливая россия,1749,1
6,99111842,Иконников Василий Николаевич,3,3,1,2,кпрф,1749,1
6,99111843,Ильковский Константин Константинович,1,3,2,2,справедливая россия,435,1
